Descrição dos alimentos,Energia (Kcal),Energia (KJ),Proteína (g),Lipídeos (g),Carboidratos (g),Cálcio (mg),Ferro (mg),Retinol (mcg),Vitamina C (mg),Sódio  (mg),Restrições
"Abacate, cru",96.15,402.31,1.24,8.40,06.03,7.92,0.21,61.20,8.66,0.00,0
"Abacaxi, banana e cenoura, suco natural (néctar), c/ açúcar refinado ",64.00,267.78,0.57,0.14,15.70,10.50,0.26,235.00,7.96,5.19,2
"Abacaxi, banana e cenoura, suco natural (néctar), s/ açúcar",28.00,117.15,0.61,0.15,6.59,11.30,0.28,261.00,8.82,4.43,0
"Abacaxi, cru",48.32,202.18,0.86,0.12,12.33,22.43,0.26,2.30,34.62,0.00,0
"Abacaxi, maracujá e caju, suco natural (néctar), c/ açúcar refinado",70.00,292.88,0.55,0.23,16.70,9.47,0.33,22.30,53.00,14.50,2
"Abacaxi, melão e maracujá, suco natural (néctar), c/ açúcar refinado",63.00,263.59,0.59,0.20,15.00,7.74,0.29,21.60,15.60,9.17,2
"Abacaxi, melão e maracujá, suco natural (néctar), s/ açúcar",36.00,150.62,0.63,0.22,8.17,8.10,0.31,23.40,16.80,8.94,0
"Abacaxi, polpa, congelada",30.59,128.00,0.47,0.11,7.80,13.54,0.36,2.00,1.25,1.24,0
"Abacaxi, polpa, congelada ",34.00,142.26,0.47,0.12,7.80,13.60,0.36,2.26,1.25,1.24,0
"Abacaxi, suco natural (néctar), c/ açúcar refinado ",47.00,196.65,0.23,0.11,11.50,06.06,0.16,0.63,10.50,1.85,2
"Abacaxi, suco natural (néctar), s/ açúcar",18.00,75.31,0.24,0.12,3.99,6.31,0.17,0.69,11.40,0.98,0
"Abadejo, filé, congelado, cru",59.11,247.33,13.08,0.36,0.00,10.17,0.11,0.00,0.00,78.52,0
"Abiu, cru",62.42,261.18,0.83,0.70,14.93,5.78,0.16,46.00,10.28,0.00,0
"Abóbora, cabotian, crua",40.00,172.00,1.75,0.54,6.19,18.00,0.37,508.00,05.09,0.00,0
"Abóbora, menina brasileira, crua ",13.00,56.00,0.61,0.00,2.17,8.74,0.15,1335.00,1.50,0.00,0
"Abóbora, moranga, crua",15.00,66.00,1.12,0.13,1.44,03.05,0.00,353.00,9.65,0.00,0
"Abóbora, pescoço, crua",24.47,102.37,0.67,0.12,6.12,8.81,0.28,0.00,02.09,0.75,0
"Abobrinha, italiana, crua",19.28,80.66,1.14,0.14,4.29,15.13,0.24,41.00,6.87,0.00,0
"Abobrinha, paulista, crua",30.81,128.91,0.64,0.14,7.87,18.67,0.17,0.00,17.55,0.50,0
Açafrão,310.00,1297.04,11.43,5.85,65.37,111.00,11.10,26.50,80.80,148.00,0
"Açaí, polpa, com xarope de guaraná e glucose",110.00,460.24,0.70,3.70,21.50,22.00,0.30,0.00,10.30,15.00,1
"Açaí, polpa, congelada",58.05,242.86,0.80,3.94,6.21,35.18,0.43,29.00,0.00,5.18,0
"Acelga, crua",20.94,87.62,1.44,0.11,4.63,42.99,0.27,330.00,22.55,1.18,0
"Acerola, crua",33.46,140.01,0.91,0.21,7.97,12.55,0.22,60.00,941.37,0.00,0
"Acerola, polpa, congelada",21.94,91.78,0.59,0.00,5.54,7.59,0.17,173.00,623.24,1.28,0
"Acerola, suco natural (néctar), c/ açúcar refinado",26.00,108.78,0.16,0.08,6.33,7.53,0.01,40.30,302.00,0.75,2
"Acerola, suco natural (néctar), s/ açúcar ",7.00,29.29,0.16,0.09,1.45,7.74,0.00,42.40,317.00,0.14,0
Achocolatado em pó diet,337.70,1412.94,29.42,2.39,55.30,664.18,2.20,4.63,2.22,978.44,0
"Achocolatado, pó",401.02,1677.87,4.20,2.17,91.18,44.40,5.36,795.85,0.00,65.00,2
"Açúcar, cristal",386.85,1618.56,0.32,0.00,99.61,7.59,0.16,0.00,0.00,0.00,0
"Açúcar, mascavo",368.55,1542.03,0.76,0.09,94.45,126.53,8.30,0.00,0.00,25.00,0
"Açúcar, refinado",386.57,1617.43,0.32,0.00,99.54,3.50,0.11,0.00,0.00,12.00,0
Adoçante artificial,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,240.00,0
"Agrião, cru",16.58,69.37,2.69,0.24,2.25,132.53,3.11,422.00,60.10,7.46,0
Água de coco,19.28,80.67,0.73,0.20,3.76,24.35,0.29,0.00,2.44,106.52,0
"Aipo, cru",19.09,79.88,0.76,0.07,4.27,65.22,0.72,914.00,5.88,9.52,0
"Alface, americana, crua",8.79,36.80,0.61,0.13,1.75,14.44,0.27,0.00,10.96,7.31,0
"Alface, crespa, crua",10.68,44.69,1.35,0.16,1.70,37.98,0.40,233.00,15.58,3.38,0
"Alface, lisa, crua",13.82,57.83,1.69,0.12,2.43,27.51,0.61,217.00,21.39,4.23,0
"Alface, roxa, crua",12.72,53.21,0.91,0.19,2.49,33.83,2.48,312.00,13.47,7.12,0
"Alfavaca, crua",29.18,122.10,2.66,0.48,5.24,258.50,1.26,0.00,0.00,4.55,0
"Alho, cru",113.13,473.34,07.01,0.22,23.91,13.56,0.80,0.00,0.00,5.36,0
"Alho-poró, cru",31.51,131.83,1.41,0.14,6.88,33.62,0.64,16.00,14.15,1.76,0
"Almeirão, cru",18.03,75.46,1.77,0.22,3.34,19.50,0.74,567.00,1.69,2.35,0
Almôndega ao molho em conserva,203.52,851.53,16.16,10.72,9.70,56.75,2.16,20.41,2.14,246.54,2
Almôndega ao molho em conserva,203.52,851.53,16.16,10.72,9.70,56.75,2.16,20.41,2.14,246.54,2
"Almôndega, frango, crua",202.00,845.17,12.80,13.60,07.09,7.99,1.10,0.00,0.00,780.00,0
"Ameixa, calda, enlatada ",182.85,765.03,0.41,0.00,46.89,13.15,2.15,0.00,4.27,2.70,2
"Ameixa, crua",52.54,219.84,0.77,0.00,13.85,5.72,0.10,30.00,7.63,0.00,0
"Ameixa, em calda, enlatada, drenada ",177.36,742.07,01.03,0.28,47.66,39.24,2.70,0.00,5.15,2.79,2
"Amêndoa, torrada, salgada",580.75,2429.85,18.55,47.32,29.55,236.70,03.06,0.00,0.00,279.00,0
"Amendoim, grão, cru",544.05,2276.32,27.19,43.85,20.31,0.00,2.53,0.00,0.00,0.00,0
"Amendoim, torrado, salgado",606.00,2535.50,22.50,54.00,18.70,39.00,1.30,0.00,0.00,376.00,0
Apresuntado,128.86,539.14,13.45,6.69,2.86,22.58,0.88,0.00,0.00,943.00,2
Araçá,68.00,284.51,2.55,-0.95,5.40,18.00,0.26,31.17,228.30,2.00,0
"Arroz, farelo",324.00,1355.62,14.20,19.30,35.60,57.70,18.80,0.00,0.00,05.07,0
"Arroz, integral, cru",359.68,1504.89,7.32,1.86,77.45,7.82,0.95,0.00,0.00,1.65,0
"Arroz, tipo 1, cru",357.79,1496.99,7.16,0.34,78.76,4.41,0.68,0.00,0.00,01.02,0
"Arroz, tipo 2, cru",358.12,1498.36,7.24,0.28,78.88,4.83,0.60,0.00,0.00,0.57,0
"Aspargo, cru",22.00,92.05,2.20,0.12,3.88,24.00,2.14,58.30,5.60,2.00,0
"Atemóia, crua",96.97,405.73,0.97,0.30,25.33,22.77,0.16,0.00,10.15,0.79,0
"Atum, conserva em óleo",165.91,694.17,26.19,6.00,0.00,6.52,1.23,5.00,0.00,362.15,3
"Atum, fresco, cru",117.50,491.62,25.68,0.87,0.00,6.69,1.27,20.00,0.00,30.30,0
"Aveia, flocos, crua",393.82,1647.75,13.92,8.50,66.64,47.89,4.45,0.00,1.35,4.63,0
"Azeite, de dendê",884.00,3698.66,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0
"Azeite, de oliva, extra virgem",884.00,3698.66,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0
"Azeitona, preta, conserva",194.15,812.34,1.16,20.35,5.54,58.75,5.45,40.30,0.00,1567.00,3
"Azeitona, verde, conserva",136.94,572.94,0.95,14.22,4.10,45.64,0.18,30.00,0.00,1347.00,3
"Bacalhau, salgado, cru",135.89,568.58,29.04,1.32,0.00,156.97,0.85,0.00,0.00,13585.06,0
Bacuri,105.00,439.32,1.90,2.00,22.80,20.00,2.20,30.00,33.00,2.20,0
"Banana, da terra, crua",128.02,535.65,1.43,0.24,33.67,4.15,0.29,239.00,15.75,0.00,0
"Banana, doce em barra",280.11,1171.96,2.17,0.05,75.67,11.95,0.61,27.00,0.00,9.88,2
"Banana, figo, crua",105.08,439.67,1.13,0.14,27.80,6.36,0.20,0.00,17.50,0.00,0
"Banana, maçã, crua",86.81,363.19,1.75,0.06,22.34,3.22,0.20,6.00,10.47,0.00,0
"Banana, nanica, crua",91.53,382.96,1.40,0.12,23.85,3.42,0.35,14.00,5.86,0.00,0
"Banana, ouro, crua",112.37,470.14,1.48,0.21,29.34,3.19,0.34,50.00,7.56,0.00,0
"Banana, pacova, crua",77.91,325.97,1.23,0.08,20.31,5.49,0.37,0.00,0.00,0.94,0
"Banana, prata, crua",98.25,411.08,1.27,0.07,25.96,7.56,0.38,32.00,21.59,0.00,0
Banha suína,902.00,3773.97,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0
Barra de cereais,352.92,1476.62,3.17,8.55,69.44,540.54,4.86,607.36,0.10,284.16,1
Barra de cereais doce,352.92,1476.62,3.17,8.55,69.44,540.54,4.86,607.36,0.10,284.16,1
Barra de cereais salgada,352.92,1476.62,3.17,8.55,69.44,540.54,4.86,607.36,0.10,284.16,1
Batata palha,545.70,2283.21,5.24,35.24,54.52,26.55,0.72,0.00,23.59,701.61,2
"Batata, baroa, crua",100.98,422.52,01.05,0.17,23.98,17.13,0.30,25.00,7.55,0.00,0
"Batata, doce, crua",118.24,494.72,1.26,0.13,28.20,21.11,0.39,3637.00,16.48,8.77,0
"Batata, inglesa, crua",64.37,269.33,1.77,0.00,14.69,3.55,0.36,0.00,31.08,0.00,0
"Bebida Isotônica, sabores variados",26.00,108.78,0.00,0.00,6.40,1.00,0.70,0.00,0.00,44.00,1
Bebida láctea,91.13,381.29,2.78,1.15,18.03,97.17,0.06,10.10,0.89,36.45,2
Bebida láctea (média de diferentes sabores),68.00,284.51,03.01,1.68,10.20,88.70,0.00,156.00,02.06,46.30,2
"Bebida láctea, pêssego",55.16,230.81,2.13,1.91,7.57,88.63,0.00,0.00,02.05,46.00,2
"Berinjela, crua",19.63,82.12,1.22,0.10,4.43,9.22,0.25,24.00,03.01,0.00,0
"Beterraba, crua",48.83,204.30,1.95,0.09,11.11,18.11,0.32,3.80,3.12,9.72,0
Biscoito de polvilho ,436.72,1827.24,4.46,29.08,38.37,18.28,0.57,37584.00,0.00,536.68,3
Biscoito de polvilho doce,438.00,1832.59,1.30,12.20,80.50,30.00,1.80,0.00,0.00,98.00,3
Biscoito recheado,472.00,1974.85,6.40,19.60,70.50,27.00,2.30,0.00,0.00,239.00,1
Biscoito salgado,432.00,1807.49,10.10,14.40,68.70,20.00,2.20,0.00,0.00,854.00,3
"Biscoito, doce, maisena",442.82,1852.76,08.07,11.97,75.23,54.45,1.76,0.00,6.22,352.03,2
"Biscoito, doce, recheado com chocolate",471.82,1974.11,6.40,19.58,70.55,27.23,2.27,0.00,3.53,239.20,1
